SID,gender,age,trial,step,submitted,instanceID,itemID,weight,value,selected,totalWeight,totalValue,selectStatus,difficulty_estimate,performance_estimate,weights,values,capacity,group,solution_val,solution_comb,sahniK,n_item,normalized_capacity,normalized_profit,ratio
102,F,20,0,1,0,0,0,9,34,1,9,34,[1. 0. 0. 0. 0. 0. 0. 0. 0.],6,30,[ 9 27 17  4  4 13 49 17 36],[34  7 21  1 36 46  6 43 10],77.0,over,181,"[0, 2, 3, 4, 5, 7]",0,9,0.4375,0.8872549019607843,0.7070556106060772
102,F,20,0,2,0,0,4,4,36,1,13,70,[1. 0. 0. 0. 1. 0. 0. 0. 0.],6,30,[ 9 27 17  4  4 13 49 17 36],[34  7 21  1 36 46  6 43 10],77.0,over,181,"[0, 2, 3, 4, 5, 7]",0,9,0.4375,0.8872549019607843,0.7070556106060772
102,F,20,0,3,0,0,5,13,46,1,26,116,[1. 0. 0. 0. 1. 1. 0. 0. 0.],6,30,[ 9 27 17  4  4 13 49 17 36],[34  7 21  1 36 46  6 43 10],77.0,over,181,"[0, 2, 3, 4, 5, 7]",0,9,0.4375,0.8872549019607843,0.7070556106060772
102,F,20,0,4,0,0,7,17,43,1,43,159,[1. 0. 0. 0. 1. 1. 0. 1. 0.],6,30,[ 9 27 17  4  4 13 49 17 36],[34  7 21  1 36 46  6 43 10],77.0,over,181,"[0, 2, 3, 4, 5, 7]",0,9,0.4375,0.8872549019607843,0.7070556106060772
102,F,20,0,5,0,0,2,17,21,1,60,180,[1. 0. 1. 0. 1. 1. 0. 1. 0.],6,30,[ 9 27 17  4  4 13 49 17 36],[34  7 21  1 36 46  6 43 10],77.0,over,181,"[0, 2, 3, 4, 5, 7]",0,9,0.4375,0.8872549019607843,0.7070556106060772
102,F,20,0,6,0,0,3,4,1,1,64,181,[1. 0. 1. 1. 1. 1. 0. 1. 0.],6,30,[ 9 27 17  4  4 13 49 17 36],[34  7 21  1 36 46  6 43 10],77.0,over,181,"[0, 2, 3, 4, 5, 7]",0,9,0.4375,0.8872549019607843,0.7070556106060772
102,F,20,0,7,1,0,-1,36,10,-1,64,181,[1. 0. 1. 1. 1. 1. 0. 1. 0.],6,30,[ 9 27 17  4  4 13 49 17 36],[34  7 21  1 36 46  6 43 10],77.0,over,181,"[0, 2, 3, 4, 5, 7]",0,9,0.4375,0.8872549019607843,0.7070556106060772
102,F,20,1,1,0,1,0,1,34,1,1,34,[1. 0. 0. 0. 0. 0. 0.],3,50,[ 1 50 29 24 16 30 29],[34  5 30  4 45 31 15],78.0,over,140,"[0, 2, 4, 5]",0,7,0.43575418994413406,0.8536585365853658,0.6724529739362691
102,F,20,1,2,0,1,4,16,45,1,17,79,[1. 0. 0. 0. 1. 0. 0.],3,50,[ 1 50 29 24 16 30 29],[34  5 30  4 45 31 15],78.0,over,140,"[0, 2, 4, 5]",0,7,0.43575418994413406,0.8536585365853658,0.6724529739362691
102,F,20,1,3,0,1,5,30,31,1,47,110,[1. 0. 0. 0. 1. 1. 0.],3,50,[ 1 50 29 24 16 30 29],[34  5 30  4 45 31 15],78.0,over,140,"[0, 2, 4, 5]",0,7,0.43575418994413406,0.8536585365853658,0.6724529739362691
102,F,20,1,4,0,1,2,29,30,1,76,140,[1. 0. 1. 0. 1. 1. 0.],3,50,[ 1 50 29 24 16 30 29],[34  5 30  4 45 31 15],78.0,over,140,"[0, 2, 4, 5]",0,7,0.43575418994413406,0.8536585365853658,0.6724529739362691
102,F,20,1,5,1,1,-1,29,15,-1,76,140,[1. 0. 1. 0. 1. 1. 0.],3,50,[ 1 50 29 24 16 30 29],[34  5 30  4 45 31 15],78.0,over,140,"[0, 2, 4, 5]",0,7,0.43575418994413406,0.8536585365853658,0.6724529739362691
102,F,20,2,1,0,2,9,13,45,1,13,45,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],6,40,[15 14 29 47 12  2 18  6 41 13  9],[14  9  1  7  8 43 47 24 39 45  2],92.0,over,206,"[4, 5, 6, 7, 8, 9]",0,11,0.44660194174757284,0.8619246861924686,0.6575002085986111
