SID,trial,step,instanceOnset,difficultyEstOnset,performanceEstOnset,decisionStartOnset,stepTime
102,0,1,1573674339.7877038,1573674349.7877038,1573674351.7897036,1573674355.8227038,1573674361.3257036
102,0,2,1573674339.7877038,1573674349.7877038,1573674351.7897036,1573674355.8227038,1573674365.5207038
102,0,3,1573674339.7877038,1573674349.7877038,1573674351.7897036,1573674355.8227038,1573674373.571704
102,0,4,1573674339.7877038,1573674349.7877038,1573674351.7897036,1573674355.8227038,1573674374.0657036
102,0,5,1573674339.7877038,1573674349.7877038,1573674351.7897036,1573674355.8227038,1573674395.2297037
102,0,6,1573674339.7877038,1573674349.7877038,1573674351.7897036,1573674355.8227038,1573674408.0767038
102,0,7,1573674339.7877038,1573674349.7877038,1573674351.7897036,1573674355.8227038,1573674412.0207038
102,0,8,1573674339.7877038,1573674349.7877038,1573674351.7897036,1573674355.8227038,1573674439.722704
102,0,9,1573674339.7877038,1573674349.7877038,1573674351.7897036,1573674355.8227038,1573674449.3597038
102,0,10,1573674339.7877038,1573674349.7877038,1573674351.7897036,1573674355.8227038,1573674452.446704
102,0,11,1573674339.7877038,1573674349.7877038,1573674351.7897036,1573674355.8227038,1573674455.1857038
102,0,12,1573674339.7877038,1573674349.7877038,1573674351.7897036,1573674355.8227038,-1
102,1,1,1573674456.7507038,1573674466.7507038,1573674470.4457037,1573674473.0557039,1573674476.4037037
102,1,2,1573674456.7507038,1573674466.7507038,1573674470.4457037,1573674473.0557039,1573674479.3467038
102,1,3,1573674456.7507038,1573674466.7507038,1573674470.4457037,1573674473.0557039,1573674480.5697036
102,1,4,1573674456.7507038,1573674466.7507038,1573674470.4457037,1573674473.0557039,1573674482.1237037
102,1,5,1573674456.7507038,1573674466.7507038,1573674470.4457037,1573674473.0557039,-1
102,2,1,1573674526.6317039,1573674536.6317039,1573674538.4737036,1573674541.1327038,1573674543.5927038
102,2,2,1573674526.6317039,1573674536.6317039,1573674538.4737036,1573674541.1327038,1573674546.2407038
102,2,3,1573674526.6317039,1573674536.6317039,1573674538.4737036,1573674541.1327038,1573674556.3397038
102,2,4,1573674526.6317039,1573674536.6317039,1573674538.4737036,1573674541.1327038,1573674557.1547039
102,2,5,1573674526.6317039,1573674536.6317039,1573674538.4737036,1573674541.1327038,1573674601.6167037
102,2,6,1573674526.6317039,1573674536.6317039,1573674538.4737036,1573674541.1327038,1573674602.2547038
102,2,7,1573674526.6317039,1573674536.6317039,1573674538.4737036,1573674541.1327038,-1
102,3,1,1573674622.2457037,1573674632.2457037,1573674636.4027038,1573674638.5727038,1573674643.070704
102,3,2,1573674622.2457037,1573674632.2457037,1573674636.4027038,1573674638.5727038,1573674643.7937038
102,3,3,1573674622.2457037,1573674632.2457037,1573674636.4027038,1573674638.5727038,1573674648.7477038
102,3,4,1573674622.2457037,1573674632.2457037,1573674636.4027038,1573674638.5727038,1573674650.5857036
102,3,5,1573674622.2457037,1573674632.2457037,1573674636.4027038,1573674638.5727038,1573674651.0957038
102,3,6,1573674622.2457037,1573674632.2457037,1573674636.4027038,1573674638.5727038,1573674682.9747038
102,3,7,1573674622.2457037,1573674632.2457037,1573674636.4027038,1573674638.5727038,1573674769.0307038
102,3,8,1573674622.2457037,1573674632.2457037,1573674636.4027038,1573674638.5727038,1573674772.3027039
102,3,9,1573674622.2457037,1573674632.2457037,1573674636.4027038,1573674638.5727038,1573674792.390704
102,3,10,1573674622.2457037,1573674632.2457037,1573674636.4027038,1573674638.5727038,1573674792.9677038
102,3,11,1573674622.2457037,1573674632.2457037,1573674636.4027038,1573674638.5727038,1573674793.6717038
102,3,12,1573674622.2457037,1573674632.2457037,1573674636.4027038,1573674638.5727038,-1
102,4,1,1573674802.5987039,1573674812.5987039,1573674815.4077039,1573674817.910704,1573674823.3597038
102,4,2,1573674802.5987039,1573674812.5987039,1573674815.4077039,1573674817.910704,1573674825.3217037
102,4,3,1573674802.5987039,1573674812.5987039,1573674815.4077039,1573674817.910704,1573674826.479704
102,4,4,1573674802.5987039,1573674812.5987039,1573674815.4077039,1573674817.910704,1573674828.482704
102,4,5,1573674802.5987039,1573674812.5987039,1573674815.4077039,1573674817.910704,1573674833.2037039
102,4,6,1573674802.5987039,1573674812.5987039,1573674815.4077039,1573674817.910704,1573674864.9417038
102,4,7,1573674802.5987039,1573674812.5987039,1573674815.4077039,1573674817.910704,-1
102,5,1,1573674866.9857037,1573674876.9857037,1573674879.1397038,1573674882.3457036,1573674889.1697037
102,5,2,1573674866.9857037,1573674876.9857037,1573674879.1397038,1573674882.3457036,1573674890.0127037
102,5,3,1573674866.9857037,1573674876.9857037,1573674879.1397038,1573674882.3457036,1573674892.4737036
102,5,4,1573674866.9857037,1573674876.9857037,1573674879.1397038,1573674882.3457036,1573674910.6897037
102,5,5,1573674866.9857037,1573674876.9857037,1573674879.1397038,1573674882.3457036,-1
102,6,1,1573674914.9677038,1573674924.9677038,1573674928.4647038,1573674932.8807037,1573674934.2147038
102,6,2,1573674914.9677038,1573674924.9677038,1573674928.4647038,1573674932.8807037,1573674938.5207038
102,6,3,1573674914.9677038,1573674924.9677038,1573674928.4647038,1573674932.8807037,1573674940.0167038
102,6,4,1573674914.9677038,1573674924.9677038,1573674928.4647038,1573674932.8807037,1573674940.6257036
102,6,5,1573674914.9677038,1573674924.9677038,1573674928.4647038,1573674932.8807037,1573674973.8497038
102,6,6,1573674914.9677038,1573674924.9677038,1573674928.4647038,1573674932.8807037,-1
102,7,1,1573674976.630704,1573674986.630704,1573674988.6527038,1573674990.4117038,1573674992.594704
102,7,2,1573674976.630704,1573674986.630704,1573674988.6527038,1573674990.4117038,1573674993.0847037
102,7,3,1573674976.630704,1573674986.630704,1573674988.6527038,1573674990.4117038,1573674995.1537037
102,7,4,1573674976.630704,1573674986.630704,1573674988.6527038,1573674990.4117038,-1
102,8,1,1573675010.255704,1573675020.255704,1573675022.650704,1573675024.4357038,1573675027.9327037
102,8,2,1573675010.255704,1573675020.255704,1573675022.650704,1573675024.4357038,1573675030.222704
102,8,3,1573675010.255704,1573675020.255704,1573675022.650704,1573675024.4357038,1573675031.4617038
102,8,4,1573675010.255704,1573675020.255704,1573675022.650704,1573675024.4357038,1573675057.7357037
102,8,5,1573675010.255704,1573675020.255704,1573675022.650704,1573675024.4357038,1573675058.2867038
102,8,6,1573675010.255704,1573675020.255704,1573675022.650704,1573675024.4357038,-1
102,9,1,1573675059.7577038,1573675069.7577038,1573675072.5507038,1573675074.726704,1573675075.5657036
102,9,2,1573675059.7577038,1573675069.7577038,1573675072.5507038,1573675074.726704,1573675076.1527038
102,9,3,1573675059.7577038,1573675069.7577038,1573675072.5507038,1573675074.726704,1573675076.7237039
102,9,4,1573675059.7577038,1573675069.7577038,1573675072.5507038,1573675074.726704,1573675078.3627038
102,9,5,1573675059.7577038,1573675069.7577038,1573675072.5507038,1573675074.726704,-1
102,10,1,1573675094.3297036,1573675104.3297036,1573675106.3837037,1573675110.9247038,1573675112.0757039
102,10,2,1573675094.3297036,1573675104.3297036,1573675106.3837037,1573675110.9247038,1573675112.6617036
102,10,3,1573675094.3297036,1573675104.3297036,1573675106.3837037,1573675110.9247038,1573675114.0737038
102,10,4,1573675094.3297036,1573675104.3297036,1573675106.3837037,1573675110.9247038,1573675129.7257037
102,10,5,1573675094.3297036,1573675104.3297036,1573675106.3837037,1573675110.9247038,-1
102,11,1,1573675131.5237038,1573675141.5237038,1573675143.5467038,1573675145.8207037,1573675149.2447038
102,11,2,1573675131.5237038,1573675141.5237038,1573675143.5467038,1573675145.8207037,1573675150.5207038
102,11,3,1573675131.5237038,1573675141.5237038,1573675143.5467038,1573675145.8207037,1573675155.1657038
102,11,4,1573675131.5237038,1573675141.5237038,1573675143.5467038,1573675145.8207037,1573675178.9187038
102,11,5,1573675131.5237038,1573675141.5237038,1573675143.5467038,1573675145.8207037,-1
102,12,1,1573675180.6447036,1573675190.6447036,1573675192.6557038,1573675194.5507038,1573675197.5607038
102,12,2,1573675180.6447036,1573675190.6447036,1573675192.6557038,1573675194.5507038,1573675200.1257036
102,12,3,1573675180.6447036,1573675190.6447036,1573675192.6557038,1573675194.5507038,1573675200.9087038
102,12,4,1573675180.6447036,1573675190.6447036,1573675192.6557038,1573675194.5507038,1573675203.1997037
102,12,5,1573675180.6447036,1573675190.6447036,1573675192.6557038,1573675194.5507038,1573675221.7217038
102,12,6,1573675180.6447036,1573675190.6447036,1573675192.6557038,1573675194.5507038,-1
102,13,1,1573675226.9917037,1573675236.9917037,1573675239.2767038,1573675241.7147038,1573675243.0427039
102,13,2,1573675226.9917037,1573675236.9917037,1573675239.2767038,1573675241.7147038,1573675245.3577037
102,13,3,1573675226.9917037,1573675236.9917037,1573675239.2767038,1573675241.7147038,1573675246.9637039
102,13,4,1573675226.9917037,1573675236.9917037,1573675239.2767038,1573675241.7147038,1573675249.2497036
102,13,5,1573675226.9917037,1573675236.9917037,1573675239.2767038,1573675241.7147038,1573675250.8377037
102,13,6,1573675226.9917037,1573675236.9917037,1573675239.2767038,1573675241.7147038,1573675251.8537037
102,13,7,1573675226.9917037,1573675236.9917037,1573675239.2767038,1573675241.7147038,1573675316.482704
102,13,8,1573675226.9917037,1573675236.9917037,1573675239.2767038,1573675241.7147038,1573675339.5007038
102,13,9,1573675226.9917037,1573675236.9917037,1573675239.2767038,1573675241.7147038,-1
102,14,1,1573675340.998704,1573675350.998704,1573675353.2927036,1573675355.1737037,1573675359.7087038
102,14,2,1573675340.998704,1573675350.998704,1573675353.2927036,1573675355.1737037,1573675360.9497037
102,14,3,1573675340.998704,1573675350.998704,1573675353.2927036,1573675355.1737037,1573675361.4397037
102,14,4,1573675340.998704,1573675350.998704,1573675353.2927036,1573675355.1737037,1573675363.3137038
102,14,5,1573675340.998704,1573675350.998704,1573675353.2927036,1573675355.1737037,1573675364.5977037
102,14,6,1573675340.998704,1573675350.998704,1573675353.2927036,1573675355.1737037,1573675365.3357038
102,14,7,1573675340.998704,1573675350.998704,1573675353.2927036,1573675355.1737037,1573675365.9047039
102,14,8,1573675340.998704,1573675350.998704,1573675353.2927036,1573675355.1737037,1573675407.0507038
102,14,9,1573675340.998704,1573675350.998704,1573675353.2927036,1573675355.1737037,-1
102,15,1,1573675411.1717038,1573675421.1717038,1573675422.2887037,1573675423.8257036,1573675426.3427038
102,15,2,1573675411.1717038,1573675421.1717038,1573675422.2887037,1573675423.8257036,1573675426.9527037
102,15,3,1573675411.1717038,1573675421.1717038,1573675422.2887037,1573675423.8257036,1573675427.6577036
102,15,4,1573675411.1717038,1573675421.1717038,1573675422.2887037,1573675423.8257036,1573675429.650704
102,15,5,1573675411.1717038,1573675421.1717038,1573675422.2887037,1573675423.8257036,1573675430.182704
102,15,6,1573675411.1717038,1573675421.1717038,1573675422.2887037,1573675423.8257036,-1
102,16,1,1573675449.5687037,1573675459.5687037,1573675462.014704,1573675464.2447038,1573675466.4287038
102,16,2,1573675449.5687037,1573675459.5687037,1573675462.014704,1573675464.2447038,1573675467.4147038
102,16,3,1573675449.5687037,1573675459.5687037,1573675462.014704,1573675464.2447038,1573675468.2087038
102,16,4,1573675449.5687037,1573675459.5687037,1573675462.014704,1573675464.2447038,1573675469.4207036
102,16,5,1573675449.5687037,1573675459.5687037,1573675462.014704,1573675464.2447038,1573675470.1877038
102,16,6,1573675449.5687037,1573675459.5687037,1573675462.014704,1573675464.2447038,1573675493.8387039
102,16,7,1573675449.5687037,1573675459.5687037,1573675462.014704,1573675464.2447038,-1
102,17,1,1573675498.5377038,1573675508.5377038,1573675510.4347038,1573675512.170704,1573675514.6987038
102,17,2,1573675498.5377038,1573675508.5377038,1573675510.4347038,1573675512.170704,1573675515.7157037
102,17,3,1573675498.5377038,1573675508.5377038,1573675510.4347038,1573675512.170704,1573675544.318704
102,17,4,1573675498.5377038,1573675508.5377038,1573675510.4347038,1573675512.170704,-1
102,18,1,1573675546.226704,1573675556.226704,1573675558.5517037,1573675560.6807036,1573675562.5127037
102,18,2,1573675546.226704,1573675556.226704,1573675558.5517037,1573675560.6807036,1573675588.3287036
102,18,3,1573675546.226704,1573675556.226704,1573675558.5517037,1573675560.6807036,-1
102,19,1,1573675602.5977037,1573675612.5977037,1573675615.7807038,1573675617.4057038,1573675620.3717039
102,19,2,1573675602.5977037,1573675612.5977037,1573675615.7807038,1573675617.4057038,1573675622.3797038
102,19,3,1573675602.5977037,1573675612.5977037,1573675615.7807038,1573675617.4057038,1573675626.1487038
102,19,4,1573675602.5977037,1573675612.5977037,1573675615.7807038,1573675617.4057038,1573675766.9307039
102,19,5,1573675602.5977037,1573675612.5977037,1573675615.7807038,1573675617.4057038,1573675767.3927038
102,19,6,1573675602.5977037,1573675612.5977037,1573675615.7807038,1573675617.4057038,1573675767.8207037
102,19,7,1573675602.5977037,1573675612.5977037,1573675615.7807038,1573675617.4057038,-1
102,20,1,1573675813.2907038,1573675823.2907038,1573675825.8227038,1573675830.1177037,1573675833.4317038
102,20,2,1573675813.2907038,1573675823.2907038,1573675825.8227038,1573675830.1177037,1573675834.3847036
102,20,3,1573675813.2907038,1573675823.2907038,1573675825.8227038,1573675830.1177037,1573675835.6607037
102,20,4,1573675813.2907038,1573675823.2907038,1573675825.8227038,1573675830.1177037,1573675840.3777037
102,20,5,1573675813.2907038,1573675823.2907038,1573675825.8227038,1573675830.1177037,1573675877.9157038
102,20,6,1573675813.2907038,1573675823.2907038,1573675825.8227038,1573675830.1177037,1573675878.2647038
102,20,7,1573675813.2907038,1573675823.2907038,1573675825.8227038,1573675830.1177037,-1
102,21,1,1573675880.6597037,1573675890.6597037,1573675892.058704,1573675893.5457036,1573675896.594704
102,21,2,1573675880.6597037,1573675890.6597037,1573675892.058704,1573675893.5457036,1573675899.5837038
102,21,3,1573675880.6597037,1573675890.6597037,1573675892.058704,1573675893.5457036,1573675902.0117037
102,21,4,1573675880.6597037,1573675890.6597037,1573675892.058704,1573675893.5457036,1573675903.9257038
102,21,5,1573675880.6597037,1573675890.6597037,1573675892.058704,1573675893.5457036,1573675950.6737037
102,21,6,1573675880.6597037,1573675890.6597037,1573675892.058704,1573675893.5457036,-1
102,22,1,1573675954.522704,1573675964.522704,1573675967.4217036,1573675969.4207036,1573675971.2437038
102,22,2,1573675954.522704,1573675964.522704,1573675967.4217036,1573675969.4207036,1573675971.7817037
102,22,3,1573675954.522704,1573675964.522704,1573675967.4217036,1573675969.4207036,1573675975.3137038
102,22,4,1573675954.522704,1573675964.522704,1573675967.4217036,1573675969.4207036,1573675977.979704
102,22,5,1573675954.522704,1573675964.522704,1573675967.4217036,1573675969.4207036,1573675978.5407038
102,22,6,1573675954.522704,1573675964.522704,1573675967.4217036,1573675969.4207036,1573675979.8637037
102,22,7,1573675954.522704,1573675964.522704,1573675967.4217036,1573675969.4207036,1573675980.3897038
102,22,8,1573675954.522704,1573675964.522704,1573675967.4217036,1573675969.4207036,-1
102,23,1,1573676048.6057036,1573676058.6057036,1573676059.999704,1573676063.4247038,1573676065.8857036
102,23,2,1573676048.6057036,1573676058.6057036,1573676059.999704,1573676063.4247038,1573676066.479704
102,23,3,1573676048.6057036,1573676058.6057036,1573676059.999704,1573676063.4247038,1573676069.4287038
102,23,4,1573676048.6057036,1573676058.6057036,1573676059.999704,1573676063.4247038,1573676070.1227038
102,23,5,1573676048.6057036,1573676058.6057036,1573676059.999704,1573676063.4247038,1573676112.1027038
102,23,6,1573676048.6057036,1573676058.6057036,1573676059.999704,1573676063.4247038,-1
102,24,1,1573676119.0957038,1573676129.0957038,1573676130.9547038,1573676132.7637038,1573676135.218704
102,24,2,1573676119.0957038,1573676129.0957038,1573676130.9547038,1573676132.7637038,1573676137.5277038
102,24,3,1573676119.0957038,1573676129.0957038,1573676130.9547038,1573676132.7637038,1573676139.7477038
102,24,4,1573676119.0957038,1573676129.0957038,1573676130.9547038,1573676132.7637038,1573676139.851704
102,24,5,1573676119.0957038,1573676129.0957038,1573676130.9547038,1573676132.7637038,1573676141.1157038
102,24,6,1573676119.0957038,1573676129.0957038,1573676130.9547038,1573676132.7637038,1573676148.7127037
102,24,7,1573676119.0957038,1573676129.0957038,1573676130.9547038,1573676132.7637038,1573676224.318704
102,24,8,1573676119.0957038,1573676129.0957038,1573676130.9547038,1573676132.7637038,1573676224.8327038
102,24,9,1573676119.0957038,1573676129.0957038,1573676130.9547038,1573676132.7637038,1573676225.4387038
102,24,10,1573676119.0957038,1573676129.0957038,1573676130.9547038,1573676132.7637038,1573676252.8447037
102,24,11,1573676119.0957038,1573676129.0957038,1573676130.9547038,1573676132.7637038,1573676253.574704
102,24,12,1573676119.0957038,1573676129.0957038,1573676130.9547038,1573676132.7637038,1573676254.5647037
102,24,13,1573676119.0957038,1573676129.0957038,1573676130.9547038,1573676132.7637038,1573676321.7237039
102,24,14,1573676119.0957038,1573676129.0957038,1573676130.9547038,1573676132.7637038,1573676322.2137036
102,24,15,1573676119.0957038,1573676129.0957038,1573676130.9547038,1573676132.7637038,-1
102,25,1,1573676324.367704,1573676334.367704,1573676338.1417036,1573676340.607704,1573676343.015704
102,25,2,1573676324.367704,1573676334.367704,1573676338.1417036,1573676340.607704,1573676344.0217037
102,25,3,1573676324.367704,1573676334.367704,1573676338.1417036,1573676340.607704,1573676345.0877037
102,25,4,1573676324.367704,1573676334.367704,1573676338.1417036,1573676340.607704,1573676346.4037037
102,25,5,1573676324.367704,1573676334.367704,1573676338.1417036,1573676340.607704,1573676347.4097037
102,25,6,1573676324.367704,1573676334.367704,1573676338.1417036,1573676340.607704,1573676349.374704
102,25,7,1573676324.367704,1573676334.367704,1573676338.1417036,1573676340.607704,-1
102,26,1,1573676372.7467039,1573676382.7467039,1573676385.370704,1573676389.1067038,1573676390.7527037
102,26,2,1573676372.7467039,1573676382.7467039,1573676385.370704,1573676389.1067038,1573676391.330704
102,26,3,1573676372.7467039,1573676382.7467039,1573676385.370704,1573676389.1067038,1573676392.091704
102,26,4,1573676372.7467039,1573676382.7467039,1573676385.370704,1573676389.1067038,1573676394.538704
102,26,5,1573676372.7467039,1573676382.7467039,1573676385.370704,1573676389.1067038,1573676395.2017038
102,26,6,1573676372.7467039,1573676382.7467039,1573676385.370704,1573676389.1067038,1573676399.0687037
102,26,7,1573676372.7467039,1573676382.7467039,1573676385.370704,1573676389.1067038,1573676400.275704
102,26,8,1573676372.7467039,1573676382.7467039,1573676385.370704,1573676389.1067038,1573676401.7657037
102,26,9,1573676372.7467039,1573676382.7467039,1573676385.370704,1573676389.1067038,1573676505.7017038
102,26,10,1573676372.7467039,1573676382.7467039,1573676385.370704,1573676389.1067038,1573676506.5247037
102,26,11,1573676372.7467039,1573676382.7467039,1573676385.370704,1573676389.1067038,-1
102,27,1,1573676509.9287038,1573676519.9287038,1573676521.9297037,1573676523.5527039,1573676525.3137038
102,27,2,1573676509.9287038,1573676519.9287038,1573676521.9297037,1573676523.5527039,1573676525.8987038
102,27,3,1573676509.9287038,1573676519.9287038,1573676521.9297037,1573676523.5527039,1573676526.9247038
102,27,4,1573676509.9287038,1573676519.9287038,1573676521.9297037,1573676523.5527039,1573676528.4717038
102,27,5,1573676509.9287038,1573676519.9287038,1573676521.9297037,1573676523.5527039,1573676561.7357037
102,27,6,1573676509.9287038,1573676519.9287038,1573676521.9297037,1573676523.5527039,-1
102,28,1,1573676564.0997038,1573676574.0997038,1573676576.9027038,1573676578.9617038,1573676580.6847038
102,28,2,1573676564.0997038,1573676574.0997038,1573676576.9027038,1573676578.9617038,1573676581.4777036
102,28,3,1573676564.0997038,1573676574.0997038,1573676576.9027038,1573676578.9617038,1573676582.0317037
102,28,4,1573676564.0997038,1573676574.0997038,1573676576.9027038,1573676578.9617038,1573676582.9607038
102,28,5,1573676564.0997038,1573676574.0997038,1573676576.9027038,1573676578.9617038,1573676584.2697036
102,28,6,1573676564.0997038,1573676574.0997038,1573676576.9027038,1573676578.9617038,1573676585.5237038
102,28,7,1573676564.0997038,1573676574.0997038,1573676576.9027038,1573676578.9617038,1573676587.0097036
102,28,8,1573676564.0997038,1573676574.0997038,1573676576.9027038,1573676578.9617038,1573676588.502704
102,28,9,1573676564.0997038,1573676574.0997038,1573676576.9027038,1573676578.9617038,1573676589.479704
102,28,10,1573676564.0997038,1573676574.0997038,1573676576.9027038,1573676578.9617038,1573676590.2737036
102,28,11,1573676564.0997038,1573676574.0997038,1573676576.9027038,1573676578.9617038,1573676604.7897036
102,28,12,1573676564.0997038,1573676574.0997038,1573676576.9027038,1573676578.9617038,1573676605.8057036
102,28,13,1573676564.0997038,1573676574.0997038,1573676576.9027038,1573676578.9617038,1573676614.8787038
102,28,14,1573676564.0997038,1573676574.0997038,1573676576.9027038,1573676578.9617038,1573676672.922704
102,28,15,1573676564.0997038,1573676574.0997038,1573676576.9027038,1573676578.9617038,-1
102,29,1,1573676674.9817038,1573676684.9817038,1573676688.4717038,1573676690.7487037,1573676692.8297036
102,29,2,1573676674.9817038,1573676684.9817038,1573676688.4717038,1573676690.7487037,1573676694.982704
102,29,3,1573676674.9817038,1573676684.9817038,1573676688.4717038,1573676690.7487037,1573676696.4687037
102,29,4,1573676674.9817038,1573676684.9817038,1573676688.4717038,1573676690.7487037,1573676728.719704
102,29,5,1573676674.9817038,1573676684.9817038,1573676688.4717038,1573676690.7487037,1573676729.4477038
102,29,6,1573676674.9817038,1573676684.9817038,1573676688.4717038,1573676690.7487037,1573676757.426704
102,29,7,1573676674.9817038,1573676684.9817038,1573676688.4717038,1573676690.7487037,-1
